rainfall_mm,cumulative_rainfall_mm,elevation_m,slope_deg,drainage_capacity,river_discharge_m3s,water_level_m,population_density,historical_flood,flood_control_infrastructure,urban,soil_type,flood_occurred
50.92356025511923,85.79803813154999,84.639354995996,1.3000476835595431,0.9640553403223812,235.38353358352742,3.6927596633759796,205.79801492184748,0,1,1,clay,0
68.0055385096497,76.09319999510984,41.37324406485582,3.793336720717868,0.7294439663040274,568.4607549388461,3.2141103217239775,1785.8718737181637,1,0,0,sandy,1
45.030353934750565,54.6550829832707,15.02447031149673,4.01800904991737,0.582880863174999,547.6786666048087,0.7774045656375828,39.30070354601412,1,1,0,peat,0
40.563729357781604,48.10720016548588,173.4099463531726,2.4438012593939344,0.341896792905829,103.64963073566307,0.42676072232179374,526.292337310377,1,0,1,silt,0
73.57611762015573,95.9827361862828,35.62495732934859,4.982105401305089,0.08128357785920581,224.53613576711675,0.3506853325840744,585.5101498549033,1,0,1,sandy,1
43.08354445306442,41.35512579399396,78.71754526072519,11.633024555203333,0.3634915272879541,111.20042110055621,3.7914872874133927,93.0754546659394,0,1,1,peat,1
56.78268166731835,53.1342697479202,211.4442665745782,1.9559874297858864,0.5445547582835906,145.48607274382744,1.6995667237837293,679.0648763684732,1,0,1,silt,0
53.177544674697316,67.68526253263721,10.697305142905789,7.4426823544557905,0.016228107451570772,190.9821076543096,2.5876683252266655,626.8659697992018,0,0,1,sandy,0
73.53410654837066,74.65781625128646,68.24013973605427,4.465094795156899,0.10420578929152946,297.44616957788645,3.7445109277081974,125.72390699373514,0,1,1,clay,1
35.75696745381793,34.63180401332524,241.55233813072326,11.481668144548863,0.53510284001646,191.0129828412124,2.971050799763565,117.66862394226814,0,1,1,silt,0
89.86365155704478,82.78633356092024,29.298075593485073,9.096872480094724,0.2564134659886459,290.44685708421804,3.5633310287115982,90.33371808010611,0,1,1,loam,1
29.49065030589241,34.353545431831535,29.221352396892776,10.234138866121835,0.47865491658271353,119.76431848798768,0.7875904928917503,160.6099111947635,0,0,1,clay,0
59.2345441861524,79.02053395607757,225.89563422320632,7.9520402753528705,0.3745995393292225,391.8683892408507,0.4759103280889341,881.015446581073,0,1,1,loam,0
54.763619743388674,53.73855739450083,225.34424485046276,1.9975882314663918,0.3776398805716237,108.66243678708621,0.9913904563942078,386.48727560871123,0,0,1,clay,0
27.51387037263732,31.304767864801995,178.0770296546455,3.5300425310657473,0.7872150907679807,80.28986401572726,1.8424112550693406,112.5067369966467,0,0,0,peat,0
62.503484087483876,59.020859638149275,173.60680502050877,8.522787260142229,0.4167466375021468,147.73153279169014,0.8868152925530794,82.55552730788688,1,0,0,silt,0
37.73599945611542,29.20653786968597,160.02569926527218,6.212856861055963,0.3712842568387773,430.8341196735905,0.7425406595477697,1003.8017243788464,1,0,1,clay,0
20.935366733439775,24.40040714687816,154.53449849352836,5.880959990456279,0.6619341907448347,81.71542959934601,1.9164551803854315,319.5100826241312,0,1,1,silt,0
67.70319483493213,98.06822060259468,142.74739466037235,0.5104708760721479,0.7479552679536212,63.43939871226182,0.40902534641857713,40.8296648597389,1,1,0,loam,0
14.964221602926411,19.12280456935247,232.9458795189007,4.989198470561813,0.2354737538870969,189.1425783443156,2.5448173012021784,476.67407671822855,0,1,0,clay,0
24.13512952280493,42.68445339847845,138.8831467701252,3.18804443082943,0.5907828196375159,360.0905701596223,3.54675074852958,68.03567272644405,0,1,1,loam,0
44.6747713813216,58.635446272592844,175.84841616875124,0.8101676123093896,0.5559605442160572,49.82402689964465,2.3493159323168484,60.59684537325424,1,1,0,silt,0
73.22333529401627,106.9367276427981,135.4728286556127,10.137890843998104,0.47437597795932296,227.06529817699507,0.9211241765024996,2417.041799298782,1,0,1,clay,1
65.0399932076451,63.12647548328141,111.85095338367981,11.697109188627975,0.9471697615940599,268.2859626352201,1.7709542513339191,178.64448742286297,0,0,1,silt,0
50.38434387202671,69.51790680056615,146.89214827684393,5.378204475869051,0.805607512766483,139.68493588059778,1.7408192345081557,239.85803478599217,1,1,0,clay,0
10.993570742678013,64.11766156840544,110.22224124713136,3.983231482114264,0.43657078805244387,71.03945184984,0.05774395394202658,129.11779706057789,0,1,1,clay,0
28.488773543518448,62.0425437885589,102.7629587254255,1.8213207423714486,0.6150172835724433,164.7449316517506,2.4252208666237314,128.31110450435284,1,1,1,silt,0
33.33925236152381,74.62895169772439,3.1074636144569903,1.0086803361878993,0.6288055482144546,49.404948601996125,0.0018495574148471583,1934.6561299457096,0,1,1,clay,0
20.15218624781715,64.50510003424579,135.88917013351312,9.70846488064295,0.27955455537197504,229.85129450713075,1.3492408944365741,930.1798342881358,1,0,1,clay,0
8.409459305343876,83.77616512582188,173.28645588459142,0.8634503840300636,0.6548022056127942,240.75728222941626,2.4736626717970145,288.5527830177246,0,1,1,loam,0
46.155473598903924,47.526172323471684,170.01188111543416,4.9031279295470975,0.4602890929570903,108.18621218036003,3.16885228137705,25.983634992493286,0,0,0,silt,0
66.3685951559207,124.88998594843005,86.97469403425117,9.556907539892258,0.7512817032724483,106.4115590089437,1.1058780254607745,244.88090343712904,1,0,1,clay,1
31.451294401734827,33.68474732428617,214.5265592570538,8.189135815527795,0.49904854270966426,269.4597550704374,1.7182605688083865,98.88592039062335,1,0,1,loam,0
72.63036099272148,55.01217983776661,64.24134384094141,5.887324539084558,0.7196731826681124,186.58121360954456,0.7386897827727856,76.59275797638735,1,0,0,loam,0
13.418424894960989,59.09504865763729,71.78315161790555,8.797629554095389,0.28750628153752655,306.38131595668517,1.8671933776855743,99.94491849615754,1,0,1,clay,1
19.166002630466135,28.559979575622933,175.83781296734082,2.8380423606395535,0.11175917564369597,161.00724831342757,2.032605845083909,379.64897650111635,0,0,1,silt,0
45.498140233604296,55.77791544160253,45.76871763619286,4.447910642057681,0.4419354675236671,166.58368317463814,2.2962097292528494,696.6152274820981,0,0,0,silt,0
29.516573749986474,55.60412899284277,0.7937237304023459,10.13590209715515,0.18896095140282665,73.68813423536457,1.5981894474075138,73.7805642957583,0,0,1,clay,0
62.88650122204131,59.32453736598032,186.3116095553657,2.0858506275246866,0.5238277293292054,25.273560026129402,2.3333825353346636,220.54154836662133,1,1,1,peat,0
56.383180349471544,68.49143232280642,39.28354377331911,3.208378345426277,0.6091136118038796,295.0509865157721,3.7910876097253956,554.832861905706,0,0,1,sandy,1
