hazard_exposure,elevation_m,asset_age_years,criticality,accessibility,power_availability,asset_type,vulnerability_class
0.5941468375571021,23.616001039980404,75.93645493914197,0.07014764067974533,0.5590228247292536,0.0373502058675278,bridge,1
0.23413290503405648,6.678979338492402,24.104987643166876,0.2532131266343851,0.20488425670474475,0.8897813967299161,substation,1
0.14628722604770172,162.57046969706218,37.52717184857575,0.5000371178473234,0.4042007452152895,0.8363033540270723,bridge,0
0.9040773250600678,228.42107953019382,6.245730280730177,0.1100420625726709,0.5580018858108204,0.20046905069975685,fire_station,1
0.5047419927808704,8.632545646677926,59.60418733198946,0.17723505967561815,0.5372856713205266,0.7151200468384276,hospital,1
0.05393665441131934,91.75633432585487,52.34685476939484,0.6294405723485741,0.6715679494013022,0.828436060765197,hospital,0
0.28225070667235386,40.34172661074195,4.149805433837006,0.6723055798084256,0.547974271985718,0.31072811892304386,drainage,1
0.649980558835022,107.91270482986023,11.354712201870887,0.2876820175769872,0.11514651706282442,0.8985580231711385,shelter,1
0.0651168288381706,196.06601761496552,62.44731046705716,0.6000131865370196,0.6420769061095616,0.9706322736602194,hospital,0
0.7956897609272849,51.59245239222343,31.448228234183407,0.9802071574025252,0.2673380423279784,0.8942882180581581,bridge,2
0.4591806717008975,52.55990818479306,56.96831474839487,0.8431639145357501,0.3805329895901496,0.03925713952120735,shelter,1
0.6253215532418901,110.79163445902859,45.46145120517983,0.33400853343153813,0.46035194180147854,0.08675711469516745,substation,1
0.0666765418363714,38.12826889151255,62.75693740484727,0.6038796405979431,0.055225743779165115,0.5357285600150843,drainage,1
0.6238346797954549,24.606264602032358,62.87399471492736,0.2313186413156726,0.5539616513820993,0.06858023739619135,fire_station,1
0.8759955354183167,156.42826187385586,72.9344210424962,0.13619988991597398,0.4551994601477839,0.6445872271383658,bridge,1
0.030140135929264122,140.5978215314021,50.46710068519506,0.8436012765798655,0.8604350124391503,0.8106776246618531,bridge,0
0.5721570075633173,145.30145373042026,98.96779149359381,0.3885087932295951,0.7796545559600189,0.4299960603634013,shelter,1
0.13313220628538347,237.20831942473575,7.989201721010453,0.07918837840974291,0.7079057504278038,0.8115723068668101,substation,0
0.6378159533293976,240.00982785703434,32.13726123899704,0.9538064543591609,0.7540319705035325,0.47483367068161264,bridge,1
0.10602137227576025,92.96912964413939,57.228293108200766,0.09560984536755635,0.010310472019205985,0.49451462177634664,hospital,0
0.12245434086809115,41.838827046715124,51.105040302244106,0.8178194937260024,0.5179211515548281,0.596079174435025,drainage,1
0.8117805789353698,188.1689789636586,50.91171876168736,0.882615083444932,0.5796269087311431,0.2799060663763582,shelter,1
0.5684488875904294,102.06716264575358,4.932077896272791,0.15559624921592008,0.6309963169902079,0.1881701404441165,substation,1
0.46918618656557853,89.11523858332227,26.350414592150663,0.33239674280615616,0.7958558176217781,0.77006554040529,shelter,0
0.12366619255847522,123.00864848596967,94.74765957229808,0.156758481165302,0.7203879496397209,0.6843309703182788,shelter,0
0.5274764872855637,109.53033430433204,3.372591251004997,0.9031478221800384,0.5948064485284067,0.08375931282056148,bridge,1
0.38271911198789466,2.225757069663492,64.0669693005136,0.1314315464524669,0.15950763405424084,0.0004462202257432546,drainage,1
0.5365210555770692,151.3512114566204,62.012198728706466,0.5329548898376125,0.24370465429898935,0.3323501560158827,hospital,1
0.8878461861041612,134.80199002939744,43.41424833153411,0.12125237647183562,0.23761998039274912,0.3370485283620288,bridge,1
0.0175560281542827,134.26240036610596,46.587501256251954,0.5218765101880618,0.30606791279226175,0.7562758760658131,fire_station,0
0.35751503386431993,81.13360866710941,31.571783506334437,0.9115826558647826,0.35137652775111994,0.858167454063143,bridge,1
0.6376123777703997,222.30475321526757,21.163135498428908,0.6185918095351572,0.95722343076835,0.6683623766472433,bridge,0
0.9159449578744729,25.614435502428368,0.5608469849971653,0.6702077174789508,0.569232835618869,0.11191410450226691,drainage,1
